CSF,Cortical GM,WM,Ventricles,Cerebellum,Brainstem,Caudate Right,Caudate Left,Lentiform Right,Lentiform Left,Thalamus Left,Thalamus Right,TTV,TBV,ICV
58404.38,125235.25,144115.5,3931.63,22558,6176.5,1670.13,1710.88,3002.63,3109.88,4066.5,4067,324814.5,328746.13,387150.5
55515.63,125847.25,140529.13,5033,22410.38,6302.25,1955,1969.88,2909.38,2827.5,4111,4349.5,324072.38,329105.38,384621
57120.5,119018.75,133393.5,4470.88,19143,5939.63,1648.75,1491.63,2649.25,2802.25,3848.75,3795.25,302452.75,306923.63,364044.13
69063.5,123685.88,137673.5,3844.63,19879.25,5768.88,1481,1680.25,2704.75,3025.38,3997,4040.25,313368.63,317213.25,386276.75
62832.63,145986.63,162113,5500.25,23208,6413.63,2361.88,2403.25,3062.13,3312.13,4781.5,4777.75,369335.38,374835.63,437668.25
70053.25,138437.63,145080.13,4531,20294.13,6119.13,1560.38,1584,2835.5,3026.75,4114.25,4137.38,336408.13,340939.13,410992.38
64388,134554.38,153383,4083.88,21053.88,6209.38,1686.25,1937.38,2830.5,2940.88,4376.63,4481.63,343686.13,347770,412158
66514.63,122353.13,137253.5,3999.63,18647.13,6147.75,1708.13,1980.75,2869.63,2953.88,3860.63,3874.75,311374.25,315373.88,381888.5
63559.38,135280.63,153069.63,3934.63,20555.38,5910.25,1608.5,1647.38,2837.25,2768.13,4091.88,4197.88,341894,345828.63,409388
84918.75,114699.63,127904.25,5007.63,20540,6027.38,1742,1847.63,2621.13,2794.25,3906.25,3913.63,295481.13,300488.75,385407.5
78728.13,144384.88,173026.25,9554.5,24127.38,6899.5,2300.13,2415.88,2833.38,3050.13,4538.38,4607.13,379486,389040.5,467768.63
78787.25,150182,145245.88,3509.13,22296.38,6197.13,1721,1785.63,2913.88,3039.75,4465.38,4363.88,352081.13,355590.25,434377.5
38145.88,103797,116172.63,2692.75,18205.88,5557.38,1659,1694.63,2772.63,2749.25,3551.88,3517.5,268109.63,270802.38,308948.25
71279.75,155330,157037.38,5596.75,24809.75,6410.5,1833.75,1859,3098.63,3278.5,4424.25,4529.75,372517.13,378113.88,449393.63
45890.63,134018.38,153641.88,2822.25,22434.25,6186.38,1865.88,1925.63,2910.88,3081.5,4394.88,4510.88,344987.38,347809.63,393700.25
79188.63,120010.13,121032,5577.38,21084.25,5609.75,1320.75,1519.25,2452.75,2626.5,3810,3845,292332.5,297909.88,377098.5
87746,124083.25,137159.88,5502,21864.88,6146.63,1437,1524.63,2592.25,2950.38,4066.5,4009.25,315456.13,320958.13,408704.13
43563.38,125380.5,143324.13,2524.38,20277.38,5988.63,2004,1954.5,2981,3057.13,4333,4260.38,323075.13,325599.5,369162.88
64370,128521.5,143814.88,5379.88,20370.38,5893.88,1814.88,1806.88,2917.38,2888.5,4245.13,4221.25,326010.38,331390.25,395760.25
78977.5,129081.25,132720.5,4002.63,20151.63,5930.25,1561.13,1574.13,2697,2907,4200.88,4122.88,314516,318518.63,397496.13
57095,140193.88,151557.63,5297.25,22776.25,6192.88,1700.5,1762.75,3053,3068.75,3930.88,4110.25,348319.75,353617,410712
70119.88,140327.38,155228,4060.75,21005.63,6222.75,1583.38,1598.13,2785,2806.38,4126.13,4162.38,349940.88,354001.63,424121.5
75730,123581,140406.88,4827.13,18575.88,5499.5,1376.88,1390.75,2225,2311.63,3714.5,3736.63,311698.75,316525.88,392255.88
74274.75,135168.13,153940.25,4944.63,22796.75,6291.13,1963.63,1980.13,2961.63,3043.5,4212.63,4192.75,346553.13,351497.75,425772.5
99889,149393.13,156046,12829.38,24900,6376.5,2150.88,2291.88,3662.63,3680.63,4369.75,4464.25,368614.88,381444.25,481333.25
68969.75,146267.63,170354.13,6999.13,20520.5,6056.75,1911.38,1933.13,3195.75,3190.25,4159.13,4111.25,371494.63,378493.75,447463.5
60720,116738.88,129133.13,4369.25,18292.38,5580.63,1610.5,1604.5,2361.13,2437.25,3984,3934.13,294442.88,298812.13,359532.13
74185.5,152180.13,164867.88,5339,22750.75,6456,1827.75,1966.13,3267.88,3460.38,4306.5,4283.38,375231.75,380570.75,454756.25
68706.38,136593.38,137925.13,3467,21131.5,5880,1418.63,1437.75,2974.13,2985,3956.75,4060.88,327729.88,331196.88,399903.25
69721,141293,156170.25,4171.13,23709,6408,1894.88,1944.88,3444.88,3500.13,4587.75,4568.38,358302.25,362473.38,432194.38
66924.38,143737.75,153488.75,4504,24282.75,6682.25,1694,1781.88,3088.13,2994.13,4299.75,4266.38,356618.63,361122.63,428047
71456.13,132869.38,141823.75,4788.88,20581.88,5792.5,1699.38,1760.13,3051.38,3102.63,4165.25,4165,328461.25,333250.13,404706.25
86600.13,107546.25,119469.63,5211.38,17988.5,5547.88,1413,1494.25,2145.5,2423,3812.38,3882,274539.38,279750.75,366350.88
65717.13,131918.75,150836.38,3312.38,22522.63,6607.13,1966.25,2040.63,3108.5,3179,4222.38,4346,340664.25,343976.63,409693.75
