CSF,Cortical GM,WM,Ventricles,Cerebellum,Brainstem,Caudate Right,Caudate Left,Lentiform Right,Lentiform Left,Thalamus Left,Thalamus Right,TTV,TBV,ICV
64412,129185,135270,3161,18474,5851,1603,1678,2623,2895,4325,4307,316095,319256,383668
75422,134066,144998,5274,23552,6541,1764,1659,3084,2756,4190,4324,336920,342194,417616
69035,141662,149508,5878,26367,6684,1686,1646,3087,3142,3908,3925,351161,357039,426074
57290,118457,119059,2396,19435,5086,1509,1416,2596,2630,3642,3759,285930,288326,345616
54869,102933,104062,4207,20913,5106,1355,1376,2867,2821,3558,3557,256108,260315,315184
61874,138498,151758,2583,23602,6178,1792,1591,3161,2984,4310,4287,348727,351310,413184
83568,130828,138270,7626,20013,6103,1615,1670,2807,2924,3816,3810,320924,328550,412118
54305,129644,144542,3306,22409,6035,1983,2058,3327,3381,4273,4354,332243,335549,389854
80106,135618,135684,3650,19792,5837,1670,1681,2793,2974,3995,3912,323396,327046,407152
60806,112453,117630,4147,21113,5607,1450,1542,2709,2908,3921,3971,282246,286393,347199
67360,160802,171905,5164,26505,6267,2095,2179,2923,3095,4549,4472,396137,401301,468661
67811,128812,136190,4201,20576,5589,1384,1479,2849,3018,3735,3796,316683,320884,388695
66844,130532,131492,5923,21637,5550,1558,1558,2465,2676,3935,3897,314445,320368,387212
78711,131941,132659,2766,22666,6107,1257,1231,2905,2953,4478,4344,319907,322673,401384
71700,118941,121587,5885,23330,5876,1588,1642,2760,2853,3961,3948,295155,301040,372740
82113,159671,154072,6497,24889,6512,1803,1933,2860,3030,4774,4774,375353,381850,463963
85924,158806,167712,5988,25816,6365,1675,1751,3451,3571,4335,4430,387937,393925,479849
86354,143642,153103,5810,22166,6282,1679,1777,3044,3158,4566,4644,354256,360066,446420
78713,138669,138536,5720,21772,5865,1755,1847,2970,2966,3954,4016,332236,337956,416669
93087,137239,125975,7027,21319,5552,1675,1761,3213,3283,3690,3679,316417,323444,416531
85233,158561,151273,6478,27680,6655,1768,1895,3160,3177,4304,4331,372890,379368,464601
96012,116548,123092,4852,19429,5398,1512,1634,2867,2850,3596,3663,289504,294356,390368
59043,126510,148697,3967,22878,6367,2026,2214,2897,3468,4277,4077,334223,338190,397233
56610,123527,124462,3380,22130,5495,1438,1347,2229,2601,4210,4140,301056,304436,361046
61690,138587,148715,3028,22573,6217,1456,1481,2173,2245,4534,4483,342474,345502,407192
109188,138132,133338,4647,22241,6122,1501,1473,3132,3161,4260,4321,327533,332180,441368
87277,134729,134088,4909,19954,5735,1477,1555,2513,2699,4080,3856,319613,324522,411799
78331,130654,115374,7072,21818,5523,1702,1653,2748,2708,3875,3939,299572,306644,384975
57279,125541,133376,5235,22379,5954,1559,1636,2844,2831,3928,3988,313362,318597,375876
64056,147321,161104,5559,25952,6568,1918,1815,3460,3458,4413,4576,371398,376957,441013
71126,122738,119945,3634,19379,5211,1103,1150,2076,2114,4060,3944,290568,294202,365328
93798,182884,192322,5712,27193,7349,1970,1936,3226,3561,4939,4810,442317,448029,541827
83349,143762,136118,5395,24760,5922,1721,1732,2878,2925,4282,4226,338445,343840,427189
77033,131880,125652,4816,21984,5815,1559,1566,2887,2907,4011,3953,311250,316066,393099
60528,140509,159136,3577,21183,6214,2456,2270,3179,3608,4562,4429,357998,361575,422103
75520,135994,138888,4318,22272,6049,1427,1565,2866,2967,4315,4329,330150,334468,409988
79859,137797,133502,4923,23347,6136,1590,1622,2685,2713,3996,4114,327243,332166,412025
65112,146205,158947,4675,23020,6518,1971,1961,3683,3935,4507,4469,366404,371079,436191
59980,146842,163929,4245,23103,5882,1684,1689,3473,3492,4401,4612,369224,373469,433449
83186,170823,188239,5697,24198,6816,1987,2050,3565,3619,5269,5160,422591,428288,511474
80661,151661,161713,6069,25082,7052,1884,1947,3116,3162,4941,5032,376421,382490,463151
68081,130404,138546,4284,20426,5444,1583,1593,2974,3195,4051,3937,321584,325868,393949
67991,129752,133134,6073,22695,6195,1498,1571,2852,2987,4357,4426,318607,324680,392671
51054,126566,144902,3290,20740,6046,1787,1857,2766,2720,3955,3983,325086,328376,379430
65477,136959,147649,4977,22169,6667,1956,2108,3368,3335,4442,4383,343331,348308,413785
76059,131855,136356,6516,25057,6469,1759,1786,2998,2888,3998,4189,327070,333586,409645
113892,135114,138994,5705,19870,5844,1749,1734,2915,2935,4423,4219,327513,333218,447110
87646,176572,172273,6636,23273,6677,1819,1819,3547,3619,4565,4545,409769,416405,504051
77217,129443,141248,5931,20626,5936,1767,1778,2905,2897,4020,4029,324174,330105,407322
70196,132075,130427,4448,22567,5743,1313,1365,2873,2849,4221,4313,317115,321563,391759
75505,134378,133259,4111,24947,6240,1374,1380,2779,2896,4227,4166,325181,329292,404797
68790,137483,147574,4631,21598,5420,1563,1638,3439,3417,4185,4054,339970,344601,413391
97797,152299,144032,5160,27677,6551,1810,1874,3021,3038,4512,4680,360246,365406,463203
56639,141367,152557,3444,26327,6524,1746,1758,3032,3192,4494,4514,356177,359621,416260
93082,143544,143971,4890,24570,5946,1720,1852,2839,2869,4117,4226,345920,350810,443892
96567,154925,150736,4644,25820,6374,1923,1989,3344,3399,4136,4192,367928,372572,469139
88497,132738,127947,3550,25184,6091,1593,1665,3135,3139,4262,4650,320518,324068,412565
57913,145488,158243,3534,23660,5864,1935,1788,3054,3374,4427,4294,361870,365404,423317
93246,126769,125592,5626,19149,5544,1538,1590,2733,2764,4237,4228,303605,309231,402477
87699,138519,136460,4695,23410,6718,1701,1739,2880,3008,4218,4372,332871,337566,425265
79770,118552,121488,4500,23149,6038,1389,1375,2545,2617,3802,3928,293651,298151,377921
85709,151841,148437,4315,23154,6075,1710,1680,2836,2947,4104,4177,357077,361392,447101
76375,109907,112080,4573,20932,5353,1351,1381,2478,2563,3940,3960,272393,276966,353341
